City,Date,CTBegin,Sunrise,Sunset,CTEnd
Colorado Springs CO,2020-01-01,6.798,7.295,16.799,17.295
Colorado Springs CO,2020-01-02,6.801,7.297,16.813,17.309
Colorado Springs CO,2020-01-03,6.803,7.299,16.827,17.322
Colorado Springs CO,2020-01-04,6.805,7.3,16.841,17.336
Colorado Springs CO,2020-01-05,6.806,7.3,16.856,17.35
Colorado Springs CO,2020-01-06,6.806,7.3,16.871,17.364
Colorado Springs CO,2020-01-07,6.806,7.299,16.886,17.379
Colorado Springs CO,2020-01-08,6.806,7.298,16.902,17.394
Colorado Springs CO,2020-01-09,6.805,7.296,16.918,17.409
Colorado Springs CO,2020-01-10,6.803,7.293,16.935,17.425
Colorado Springs CO,2020-01-11,6.8,7.29,16.951,17.441
Colorado Springs CO,2020-01-12,6.798,7.286,16.968,17.457
Colorado Springs CO,2020-01-13,6.794,7.282,16.985,17.473
Colorado Springs CO,2020-01-14,6.79,7.277,17.003,17.49
Colorado Springs CO,2020-01-15,6.786,7.272,17.02,17.506
Colorado Springs CO,2020-01-16,6.781,7.266,17.038,17.523
Colorado Springs CO,2020-01-17,6.775,7.259,17.056,17.54
Colorado Springs CO,2020-01-18,6.769,7.252,17.074,17.557
Colorado Springs CO,2020-01-19,6.762,7.244,17.092,17.575
Colorado Springs CO,2020-01-20,6.755,7.236,17.111,17.592
Colorado Springs CO,2020-01-21,6.747,7.227,17.13,17.61
Colorado Springs CO,2020-01-22,6.739,7.217,17.148,17.627
Colorado Springs CO,2020-01-23,6.73,7.208,17.167,17.645
Colorado Springs CO,2020-01-24,6.72,7.197,17.186,17.663
Colorado Springs CO,2020-01-25,6.71,7.186,17.205,17.681
Colorado Springs CO,2020-01-26,6.7,7.175,17.224,17.699
Colorado Springs CO,2020-01-27,6.689,7.163,17.244,17.717
Colorado Springs CO,2020-01-28,6.678,7.15,17.263,17.735
Colorado Springs CO,2020-01-29,6.666,7.137,17.282,17.754
Colorado Springs CO,2020-01-30,6.653,7.123,17.301,17.772
Colorado Springs CO,2020-01-31,6.64,7.109,17.321,17.79
Colorado Springs CO,2020-02-01,6.627,7.095,17.34,17.808
Colorado Springs CO,2020-02-02,6.613,7.08,17.359,17.827
